Descripcion,Codigo
      ENCOFRADO Y DESENCOFRADO NORMAL,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
      LADRILLO DE TECHO h= 0.15 m,CA
CURADO DE CONCRETO CON ADITIVO,CA
   ESCALERAS,CA
      CONCRETO F'C 210 KG/CM2 ESCALERA,CA
      ENCOFRADO Y DESENCOFRADO DE ESCALERAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
   LOSA DE PISO CONTRA TERRENO e= 0.15 m,CA
      CONCRETO F'C 210 KG/CM2 ESCALERA,CA
      ENCOFRADO Y DESENCOFRADO DE ESCALERAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
Junta alrededor de columnas (J-A),CA
Juntas de contraccion (J-B),CA
Juntas de aislamiente con estructura perimetrica (J-C),CA
  CAMARA DE BOMBEO,CA
      CONCRETO F'C 210 KG/CM2 - CAMARA DE DESAGUE,CA
      ENCOFRADO Y DESENCOFRADO DE CAMARA DE BOMBEO,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
  BASE PARA EQUIPOS,CA
      CONCRETO F'C 210 KG/CM2 - BASE PARA EQUIPOS,CA
      ENCOFRADO Y DESENCOFRADO DE BASE PARA EQUIPOS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
  COLUMNETAS Y DINTELES,CA
      CONCRETO F'C 175 KG/CM2 COLUMNETAS DE AMARRE,CA
      ENCOFRADO Y DESENCOFRADO DE COLUMNETAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - COLUMNAS,CA
      ENCOFRADO Y DESENCOFRADO NORMAL DE   COLUMNAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - PLACAS,CA
    ENCOFRADO Y DESENCOFRADO DE PLACAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - VIGAS,CA
      ENCOFRADO  Y DESENCOFRADO NORMAL,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - LOSA MACIZA ,CA
     ENCOFRADO Y DESENCOFRADO,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - LOSA MACIZA ,CA
     ENCOFRADO Y DESENCOFRADO,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 280 kg/cm2 - LOSA MACIZA ,CA
     ENCOFRADO Y DESENCOFRADO,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 210kg/cm2 - LOSA ALIGERADA,CA
      ENCOFRADO Y DESENCOFRADO NORMAL,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
      LADRILLO DE TECHO h= 0.15 m,CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO PREMEZCLADO F'C 210kg/cm2 - LOSA ALIGERADA,CA
      ENCOFRADO Y DESENCOFRADO NORMAL,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
      LADRILLO DE TECHO h= 0.15 m,CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO F'C 210 KG/CM2 ESCALERA,CA
      ENCOFRADO Y DESENCOFRADO DE ESCALERAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
      CONCRETO F'C 175 KG/CM2 COLUMNETAS DE AMARRE,CA
      ENCOFRADO Y DESENCOFRADO DE COLUMNETAS,CA
"      ACERO FY=4,200 KG/CM2 REND:350 KG/DIA",CA
CURADO DE CONCRETO CON ADITIVO,CA
 MURO DE LADRILLO KK APAREJO CANTO e=0.10 m,ALB
 MURO DE LADRILLO KK APAREJO SOGA e= 0.15 m,ALB
 MURO DE LADRILLO KK APAREJO CABEZA  e=0.20 m,ALB
 MURO DE LADRILLO KK APAREJO CABEZA  e=0.25 m,ALB
 DOBLE DE MURO DE LADRILLO KK APAREJO SOGA e= 0.30 m,ALB
 DOBLE DE MURO DE LADRILLO KK APAREJO SOGA e= 0.35 m,ALB
 Drywall de plancha superboard en Puerta de Ascensor ,ALB
  SARDINEL DE CONCRETO H= 0.10 ML,TVAR
  SARDINEL DE CONCRETO H= 0.15 ML,TVAR
  JARDINERA DE CONCRETO H= 0.40 m,TVAR
"   TARRAJEO DE MUROS  INTERIORES DEPISOS SUPERIORES MEZ.C:A 1:4,E=1.5 CM.",REVO
"   TARRAJEO DE FACHADA Y DUCTOS DE ILUMINACION FROTACHADO MEZ.C:A 1:4,E=1.5 CM.",REVO
   TARRAJEO DE VIGAS PISOS SUPERIORES,REVO
   TARRAJEO DE PLACAS Y COLUMNAS PISOS SUPERIORES,REVO
  TARRAJEO DE TABIQUERIA - EN ESTACIONAMIENTOS,REVO
   TARRAJEO IMPERMEABILIZADO DE CISTERNA,REVO
   TARRAJEO IMPERMEABILIZADO DE JARDINERA,REVO
"   SOLAQUEO DE MUROS EN SOTANO MEZ.C:A 1:3,E=1.5 CM.",REVO
   SOLAQUEO CON CAL NIEVEDE FACHADA LATERAL CON ANDAMIO FIJO ,REVO
   SOLAQUEO DE PLACAS Y COLUMNAS - SOTANOS,REVO
  LIMPIEZA Y SOLAQUEADO DE MONTANTES,REVO
   VESTIDURA DE DERRAMES,REVO
   SOLAQUEO  DE VIGAS EN SÓTANO,REVO
   LIMPIEZA Y RESANE DE DUCTO DE ASCENSOR,REVO
   TARRAJEO DE CIELORASO CON MEZC.C:A 1:4 CON CINTAS E=1.5 CM. ,COB
   TARRAJEO DE CIELORASO CON MEZC.C:A 1:4 CON CINTAS E=1.5 CM. SOTANOS,COB
CIELO RASO IMPERMEABILIZADO EN CISTERNA Y ACI  ,COB
ACABADO DE PASOS Y CONTRAPASOS DE CEMENTO PULIDO,REVO
ACABADO DE CEMENTO PULIDO DESCANSO DE ESCALERA,REVO
BRUÑAS EN PASOS DE ESCALERAS,REVO
CONTRAZOCALO DE CEMENTO,REVO
FORJADO DE PASOS Y CONTRP.,REVO
FORJADO DE DESCANSO,REVO
FONDO DE ESCALERA,REVO
DERRAME DE ESCALERA,REVO
ZOCALO DE PORCELANATO EN COCINA DE 60x60,ZC
ZOCALO DE PORCELANATO EN LAVANDERIA DE 30x60cm H=1.20m,ZC
ZOCALO DE CERAMICO EN BAÑO DE SERVICIO,ZC
 ZOCALO DE PORCELANATO EN BAÑO SOCIAL,ZC
ZOCALO DE PORCELANATO EN BAÑOS SECUNDARIOS,ZC
ZOCALO DE PORCELANATO EN BAÑO PRINCIPAL,ZC
CONTRAZOCALO DE MADERA,ZC
CONTRAZOCALO DE PORCELANATO,ZC
CONTRAZOCALO DE PORCELANTO INGRESO EDIFICIO,ZC
CONTRAZOCALO DE PORCELANATO PULIDO ESMALTADO LOBBY,ZC
CONTRAPISOS DE e= 40 mm,PP
PISO DE CEMENTO IMPERMEABILIZADO EN CISTERNA,PP
PISO DE CEMENTO IMPERMEABILIZADO EN JARDINERAS,PP
"PISO DE CEMENTO PULIDO e= 2""",PP
ACABADO BARRIDO DE CEMENTO -ESTACIONAMIENTOS ,PP
PISO DE CEMENTO BRUÑADO EN ZONA DE RAMPAS,PP
   PISO ESTRUCTURADO TAUARI NATURAL 9.5x127x 2200 mm,PP
   PISO DE PORCELANATO LOBBY PULIDO ESMALTADO 60x60cm,PP
  PISO DE CERAMICO PARA BAÑO DE SERVICIO,PP
  PISO DE PORCELANATO IMPORTADO 60x60 PARA COCINA Y LAVANDERIA,PP
  PISO DE PORCELANATO IMPORTADO 60x60 BAÑO PRINCIPAL,PP
  PISO DE PORCELANTO IMPORTADO 60x60 BAÑO COMPARTIDO,PP
  PISO DE ESTRUCTURADO TAUARI NATURAL 9.5x127x2200 BAÑO SOCIAL,PP
  PISO DE PORCELANATO 60x60 CUARTO DE SERVICIO,PP
"  PISO DE PORCELANTO IMPORTADO 60x60 BALCON,TERRAZA, ",PP
   EMPASTE Y PINTURA LATEX ACRILICO EN CIELORASO ,PINT
   EMPASTE Y PINTURA LATEX  EN MUROS INTERIORES,PINT
   PINTURA MUROS INTERIORES VINILICA 1  MANO C/IMPRIMANTE. Cocheras y escaleras,PINT
   PINTURA MUROS EXTERIORES VINILICA 2   MANOS C/IMPRIMANTE,PINT
 PUERTAS PRINCIPALES DE MADERA APANELADA,VCM
 PUERTA CONTRAPLACADA P-01 (2.50x2.10) SN,VCM
 PASOS DE MADERA EN ESCALERA METALICA,VCM
 CELOSIA DE MADERA EN ESTRUCTURA METALICA PARA PUERTAS DE FACHADA,VCM
 CELOSIA DE MADERA EN ESTRUCTURA METALICA FACHADA,VCM
 MOBILIARIO EN MELAMINA - WALKING CLOSET,VCM
 MOBILIARIO EN MELAMINA - CLOSET DORMITORIOS,VCM
 MOBILIARIO EN MELAMINA - REPOSTEROS ALTOS Y BAJOS,VCM
 MOBILIARIO EN MELAMINA -ISLAS EN COCINA,VCM
" BARANDA METALICA DE TUBO RECTANGULAR DE 2x1"" Y TUBO REDONDO 1/2""",VCM
PUERTAS DE  PLANCHA MICROPERFORADA ,VCM
 ESTRUCTURA METALICA MARCO PARA CELOCIA DE MADERA EN FACHADA,VCM
 ESTRUCTURA METALICA PARA PUERTA BATIENTE PARA ACCESO VEHICULAR 3.05 X 2.10m ,VCM
 ESTRUCTURA METALICA PARA ESCALERA DUPLEX,VCM
 POSTES METALICOS CON TUBO RECTANGULAR  PARA SOPORTE DE VIDRIO TEMPLADO ,VCM
DUCTOS DE INYECCION DE AIRE,VCM
REJILLA TIPO PERCIANA PARA DUCTOS DE INYECCION DE AIRE,VCM
CANALETA DE DRENAJE,VCM
 PUERTAS CORTAFUEGO,VCM
JARDINERAS CON PORTAMACETERO,VCM
BARANDA DE INGRESO EN ACERO INOX,VCM
TAPAS DE REGISTRO PARA MEDIDOR DE AGUA,VCM
TENSORES EN TERREZA DE FACHADA POSTERIOR,VCM
CERRADURA PUERTAS CORTAFUEGO,CERR
 CERRADURA PUERTA PRINCIPAL,CERR
 CERRADURA PUERTA INTERIOR,CERR
MAMPARAS DE VIDRIO TEMPLADO   DE 10mm,VMP
MAMPARAS DE VIDRIO TEMPLADO   DE 8mm,VMP
 VIDRIO TEMPLADO PAVONADO  DE 8mm,VMP
 VIDRIO TEMPLADO PAVONADO  DE 6mm,VMP
VENTANA DE VIDRIO TEMPLADO 6mm,VMP
PUERTAS DE  VIDRIO TEMPLADO,VMP
BARANDAS DE VIDRIO TEMPLADO,VMP
 INODORO DOS PIEZAS CANCUN CON ASIENTO BLANCO,EQPO
 INODORO ONE PIECE VAINSA MAUI CON ASIENTO SLOW DOWN,EQPO
INODORO ONE PIECE CARTAGENA BLANCO,EQPO
 OVALIN EMPOTRADO BLANCO SARATOGA II,EQPO
LAVATORIO ARUBA  BLANCO,EQPO
 LAVATORIO VAINSA BOWL BLANCO PADUA,EQPO
LAVARROPAS AMAZONAS PLUS BLANCO - TREBOL,EQPO
 LAVAPLATOS EMPOTRADO DE ACERO INOXIDABLE 2 POZAS  ESSENZA - FRANKE,EQPO
LLAVE DE BOTADERO CROMADA PARA LAVATORIO,EQPO
"LLAVE PARA LAVATORIO CROMADA EMPOTRADA EN LA PARED, MODELO LEVER - VAINSA",EQPO
 MEZCLADORA BAJA MONOCOMANDO CROMADA - OCEAN ARTIC - VAINSA,EQPO
MEZCLADORA DE DUCHA MONOCOMANDO OCEAN ARTIC - VAINSA,EQPO
MEZCLADORA MONOCOMANDO COCINA CROMADA  OCEAN ARTIC - VAINSA,EQPO
LLAVES DE BOTADERO CROMADA EN LA PARED  FV,EQPO
" GRIFO DE RIEGO Ø1/2"" CON ACOPLE PARA MANGUERA",EQPO
MESADA DE GRANITO GRIS SERENA EN COCINA,REV
REVESTIMIENTO DE MADERA CAOBA EN MESADA DE CONCRETO FLOTANTE,REV
REVESTIMIENTO EN CUARZO BLANCO ESTELAR SOBRE MESADA DE CONCRETO FLOTANTE,REV
"VARIOS, LIMPIEZA, JARDINERIA",REV
INSTALACION DE GRASS Y PLANTAS EN JARDINERAS,REV
SALIDA PARA CENTRO DE LUZ (ESCALERA DE EVACUACION-VESTIBULOS),SAL
SALIDA PARA CENTRO DE LUZ ( DPTOS),SAL
SALIDA PARA DICROICO (DPTOS),SAL
SALIDA PARA DICROICO (AREAS COMUNES),SAL
SALIDA PARA CENTRO DE LUZ   (ESCALERA DE EMERGENCIA),SAL
SALIDA PARA BRAQUETE  (ESCALERA DE EMERGENCIA),SAL
SALIDA PARA BRAQUETE (BAÑOS-LAVANDERIAS) DPTOS,SAL
SALIDA PARA BRAQUETE (BALCONES Y PATIOS Y TERRAZAS) DPTOS,SAL
SALIDA PARA ARTEFACTO  (Estacionamientos-Sótanos),SAL
SALIDA PARA LUZ DE EMERGENCIA,SAL
SALIDA PARA INTERRUPTOR UNIPOLAR SIMPLE DE 1 GOLPE,SAL
SALIDA PARA INTERRUPTOR UNIPOLAR SIMPLE DE 2 GOLPES,SAL
SALIDA PARA INTERRUPTOR UNIPOLAR SIMPLE DE 3 GOLPES,SAL
SALIDA PARA INTERRUPTOR SIMPLE CONMUTADO,SAL
SALIDA  PARA INTERUPTOR DOBLE CONMUTADO,SAL
SALIDA  PARA INTERUPTOR SIMPLE CONMUTADO CUADRUPLE,SAL
INSTALACION DE LUMINARIAS EN ZONAS COMUNES,AE
"SALIDA PARA TOMACORRIENTE DOBLE 2P+T, TIPO UNIVERSAL 5025 + 5028 DX DUPLEX USA ",SAL
"SALIDA PARA TOMACORRIENTE DOBLE 2P+T,  5028 DX DUPLEX USA CON PLACA",SAL
"SALIDA PARA TOMACORRIENTE DOBLE 2P+T, TIPO UNIVERSAL 5025 + 5028 DX DUPLEX USA CON PLACA",SAL
"SALIDA PARA TOMACORRIENTE DOBLE 2P+T, TIPO UNIVERSAL 5025 + 5028 DX DUPLEX USA A PRUEBA DE AGUA",SAL
 LLAVE DE CONTROL DE 2X20 CALENTADOR ELECTRICO,SAL
SALIDA PARA INTERRUPTOR DE 2X30A (LAVADORA-SECADORA),SAL
SALIDA PARA TOMACORRIENTE COCINA ELECTRICA TRIFASICA,SAL
SALIDA PARA EXTRACCION DE AIRE EN BAÑOS,SAL
SALIDA PARA CAMPANA EXTRACTORA,SAL
SALIDA PARA  CHISPERO ENCIMERA COCINA,SAL
SALIDA PARA  PULSADOR DE TIMBRE,SAL
SALIDA PARA CAMPANILLA DE TIMBRE,SAL
SALIDA PARA CALENTADOR ELECTRICO DE AGUA,SAL
SALIDA DE FUERZA PARA PUERTA LEVADIZA 0.5HP,SAL
SALIDA PARA CONTROL MANUAL DE PUERTA GARAJE,SAL
SALIDA DE FUERZA PARA PLATAFORMA  DE DISCAPACITADOS 1HP,SAL
SALIDA DE FUERZA PARA ASCENSORES 7.00KW,SAL
"SALIDA DE FUERZA PARA BOMBAS DE DESAGUE (2 HP,3Ø) 1",SAL
SALIDA DE FUERZA PARA ELECTROBOMBA DE AGUA  3 HP,SAL
SALIDA PARA EXTRACTOR DE AIRE 3.5HP EC-01,SAL
SALIDA PARA EXTRACTOR DE AIRE 3.5HP EC-01,SAL
SALIDA PARA INYECTOR DE AIRE,SAL
SALIDA DE FUERZA PARA IA.V,SAL
SALIDA DE FUERZA PARA EA-V,SAL
SALIDA PARA CONTROL DE NIVEL DE AGUA,SAL
 SALIDA PARA CONTROL DE NIVEL DE CAMARA DE DESAGUE,SAL
DEL BM AL TT CABLE 3-1X25MM2 N2XOH + 1X25MM2 N2XY(T) - TUB 50MM Ø PVC SAP,CAN
DEL GE AL TT CABLE 3-1X25MM2 N2XOH + 1X25MM2 N2XY(T) - TUB 50MM Ø PVC SAP,CAN
DEL TT AL TGSG CABLE 3-1X25MM2 N2XOH + 1X25MM2 N2XY(T) - TUB 50MM Ø PVC SAP,CAN
DEL TGSG AL TCB CABLE 4X6MM2 NHX-90 + 1X6MM2(T) NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL TGSG AL TD1 CABLE 4X6MM2 NHX-90 + 1X6MM2(T) NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL TGSG AL TEC CABLE 4X6MM2 NHX-90 + 1X6MM2(T) NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL TGSG AL TEI CABLE 4X6MM2 NHX-90 + 1X6MM2(T) NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL TGSG AL TIC CABLE 4X6MM2 NHX-90 + 1X6MM2(T) NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-101 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-102 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-201 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-202 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-203 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-301 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-302 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-401 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-402 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-403 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-501 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-502 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-601 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-602 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-701 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-702 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-801 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-802 CABLE 2X10MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-901 CABLE 2X16MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
DEL BM A TG-902 CABLE 2X16MM2 NHX-90 - TUB 25MM Ø PVC SAP,CAN
TUBERÍA PVC P de 25mmØ,CAN
TUBERÍA PVC P de 50mmØ,CAN
   CAJA FºGº DE PASO (150X150X75) B M. ELECTRICA,CP
    CAJA FºGº DE PASO (250X250X150) F M. ELECTRICA,CP
TABLERO TCB,TEL
TABLERO T-IC,TEL
TABLERO T-EC1,TEL
TABLERO TT,TEL
TABLERO TGSG,TEL
TABLERO T-EI,TEL
