Descripcion,Codigo,Especialidad
del tgsg al tec cable xmm nhx- + xmm(t) nhx- - tub mm o pvc sap,CAN,IIEE
del tgsg al tei cable xmm nhx- + xmm(t) nhx- - tub mm o pvc sap,CAN,IIEE
del tgsg al tic cable xmm nhx- + xmm(t) nhx- - tub mm o pvc sap,CAN,IIEE
del bm a tg- cable xmm nhx- - tub mm o pvc sap,CAN,IIEE
tuberia pvc p mmo,CAN,IIEE
caja fogo paso (xx) b m electrica,CP,IIEE
caja fogo paso (xx) f m electrica,CP,IIEE
tablero tcb,TEL,IIEE
tablero t-ic,TEL,IIEE
tablero t-ec,TEL,IIEE
tablero tt,TEL,IIEE
tablero tgsg,TEL,IIEE
tablero t-ei,TEL,IIEE
tablero td,TEL,IIEE
td tipico tg-,TEL,IIEE
placa para tomacorriente doble con toma a tierra,SAL,IIEE
placa para tomacorriente doble a prueba agua con toma a tierra,SAL,IIEE
placa para interruptor unipolar simple golpe,SAL,IIEE
placa para interruptor unipolar simple golpes,SAL,IIEE
placa para interuptor simple conmutado,SAL,IIEE
placa para interuptor doble conmutacion,SAL,IIEE
colocacion placas tomacorrientes e interruptores,SAL,IIEE
"pozo tierra, segun detalle ohm- ascensores",SPT,IIEE
"pozo tierra, segun detalle ohm- general",SPT,IIEE
malla puesta tierra con cu desnudo mm,SPT,IIEE
cable (xmm(t) -tub mm o pvc-p)asc,SPT,IIEE
cable (xmm(t) -tub mm o pvc-p)sg,SPT,IIEE
pruebas electricas,IEIM,IIEE
conexion a banco medidores,IEIM,IIEE
salida para telefono interno,COM,IIEE
salida para telefono externo,COM,IIEE
salida para television (tv-cable),COM,IIEE
salida para wifi,COM,IIEE
salida para intercomunicador portero,COM,IIEE
salida para chapa electrica,COM,IIEE
salida para central cctv,COM,IIEE
salida para central intercomunicadores adosada (ci),COM,IIEE
"tubos para montantes comunicaciones (telefono tv inter,sci)",COM,IIEE
tubo pvc p mmo m ti,COM,IIEE
tubo pvc p mmo te,COM,IIEE
tubo pvc p mmo tv,COM,IIEE
cajas pase,COM,IIEE
caja fogo paso (xx) e ti,COM,IIEE
caja fogo paso (xx) b tv,COM,IIEE
caja fogo paso (xx) b te,COM,IIEE
caja fogo paso (xx) b ti,COM,IIEE
"placas telefonos, tv",COM,IIEE
placa salida para telefono,COM,IIEE
placa salida para tv-cable,COM,IIEE
equipos intercomunicadores,COM,IIEE
colocacion placas tomacorrientes e interruptores,COM,IIEE
"equipa,miento sistema cctv e intercomunicadores",COM,IIEE
suministro e instalacion intercomunicadores (solo audio),COM,IIEE
suministro e instalacion central intercomunicadores,COM,IIEE
suministro e instalacion cctv,COM,IIEE
"salida para inodoro o/""",AF,IISS
"salida para lavatorio o/"" ( poza)",AF,IISS
"salida para ducha o /""",AF,IISS
"salida para refrigeradora o/""",AF,IISS
"salida para lavatorio bbq o/""",AF,IISS
"salida para cocina ( pozas) o /""",AF,IISS
"salida para lavadero ropa o /""",AF,IISS
salida para lavadora o/,AF,IISS
"salida para jacuzzi o /""",AF,IISS
salida para grifo o/,AF,IISS
"salida agua fria pvc c- /""",AF,IISS
"salida para therma paso o /""",AF,IISS
tuberias empotradas,AF,IISS
"tuberia pvc c- /""",AF,IISS
tuberias colgadas,AF,IISS
"tuberia pvc c- """,AF,IISS
montantes,AF,IISS
"tuberia ppr pn- mm (/"")",AF,IISS
"tuberia ppr pn- mm ("")",AF,IISS
valvulas,AF,IISS
"valvula esferica /""",AF,IISS
grifo riego /'',AF,IISS
medidores agua,AF,IISS
"medidores agua /""",AF,IISS
"medidores agua """,AF,IISS
pruebas,AF,IISS
prueba hidraulica agua fria,AF,IISS
"salida agua caliente cpvc c- /""",AC,IISS
"tuberia cpvc c- /""",AC,IISS
"valvula esferica /""",AC,IISS
prueba hidraulica agua caliente,AC,IISS
trazo replanteo lineal,AC,IISS
lavatorio bano ( poza),DES,IISS
lavadero cocina ( pozas),DES,IISS
lavadero ropa,DES,IISS
lavadero bbq,DES,IISS
ducha,DES,IISS
lavadora,DES,IISS
jacuzzi,DES,IISS
"salida para inodoro "" pvc",DES,IISS
"salidas ventilacion """,DES,IISS
"sumidero bronce """,DES,IISS
"registro bronce roscado """,DES,IISS
salida para sumidero ducha '',DES,IISS
salidas para sumideros registros (colgado),DES,IISS
tuberias enterradas,DES,IISS
"tuberia pvc para desague """,DES,IISS
tuberias empotradas ( losas muros),DES,IISS
"tuberia pvc para ventilacion """,DES,IISS
"tuberia pvc para drenaje fluvial """,DES,IISS
tuberias colgadas,DES,IISS
"tuberia impulsion o "" pvc- clase",DES,IISS
"colgadores tipo gota """,DES,IISS
montantes,DES,IISS
tuberia pvc para drenaje fluvial,DES,IISS
tuberiia impulsion '',DES,IISS
"sombrero ventilacion pvc """,DES,IISS
sumidero ducha '',DES,IISS
pruebas,DES,IISS
prueba estanqueidad,DES,IISS
pintura para tuberias visibles,DES,IISS
varios,DES,IISS
"caja registro desague "" x "" registro """,DES,IISS
trabajos preliminares,DES,IISS
trazo replanteo,DES,IISS
excavacion zanjas,DES,IISS
cama arena,DES,IISS
acarreo material,DES,IISS
eliminacion desmonte,DES,IISS
demolicion las edificaciones existentes,OP,ESTRUCTURAS
malla antipolvo perimetral,OP,ESTRUCTURAS
demolicion los cimientos vecinos,OP,ESTRUCTURAS
oficina para gerencia proyecto,OP,ESTRUCTURAS
comedor obreros,OP,ESTRUCTURAS
vestuario servicios higienicos,OP,ESTRUCTURAS
almacen deposito,OP,ESTRUCTURAS
sshh - banos quimicos ( unidades),OP,ESTRUCTURAS
"sshh para supervision, propietario staff",OP,ESTRUCTURAS
consumo agua,OP,ESTRUCTURAS
instalacion desague provisional,OP,ESTRUCTURAS
red provisional agua,OP,ESTRUCTURAS
red provisional energia,OP,ESTRUCTURAS
sello resane especialidades,OP,ESTRUCTURAS
limpieza permanente final obra,OP,ESTRUCTURAS
"movilizacion equipos, herramientas materiales",OP,ESTRUCTURAS
"desmovilizacion equipos, herramientas materiales",OP,ESTRUCTURAS
caja residuos eps m,OP,ESTRUCTURAS
acarreo acopio desmonte obra civil,OP,ESTRUCTURAS
eliminacion desmonte obra civil,OP,ESTRUCTURAS
cercos o divisiones provisionales obra con malla,OP,ESTRUCTURAS
proteccion pisos,OP,ESTRUCTURAS
"proteccion ventanas, mamparas muebles",OP,ESTRUCTURAS
winches,OP,ESTRUCTURAS
equipo apoyo izaje al %,OP,ESTRUCTURAS
alquiler montacarga,OP,ESTRUCTURAS
alquiler autogrua para izaje equipos,OP,ESTRUCTURAS
topografo (con teodolito nivel),OP,ESTRUCTURAS
ayudante topografia,OP,ESTRUCTURAS
equipos proteccion personal (uniformes),SEG,ESTRUCTURAS
"plan para vigilancia ,prevencion control covid-",SEG,ESTRUCTURAS
equipos proteccion colectiva,SEG,ESTRUCTURAS
"pasarelas, barandas, escaleras metalicas,senalizacion,andamios,proteccion permanente zonas altura contra caidas objetos, etc",SEG,ESTRUCTURAS
senalizacion temporal seguridad,SEG,ESTRUCTURAS
"reparacion danos a vecinos retoques pintura en barandas, paredes, etc",SEG,ESTRUCTURAS
recursos para respuesta ante emergencias,SEG,ESTRUCTURAS
capacitacion en seguridad salud,SEG,ESTRUCTURAS
examenes medicos ocupacionales,SEG,ESTRUCTURAS
excavacion masiva hasta nivel - (en banco),MT,ESTRUCTURAS
eliminacion masiva material excavado (en banco),MT,ESTRUCTURAS
excavacion relleno manual para traslape fierro,MT,ESTRUCTURAS
desquinche paneteo talud,CA,ESTRUCTURAS
"horas maquina corte, movimiento equipos, etc",CA,ESTRUCTURAS
movilizacion e izaje equipos movimiento tierras,CA,ESTRUCTURAS
anclaje post tensados temporales (en muro),CA,ESTRUCTURAS
concreto premezclado f'c= kg/cm ( kg/cm para tensar a los dias),CA,ESTRUCTURAS
encofrado normal desencofrado muros pantalla,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - muro pantalla,CA,ESTRUCTURAS
curado estructura,CA,ESTRUCTURAS
encofrado lateral muro pantalla,CA,ESTRUCTURAS
excavacion masiva hasta del nivel - al - (en banco),MT,ESTRUCTURAS
excavacion con equipo para cisterna (en banco),MT,ESTRUCTURAS
solado concreto fc= kg/cm,CS,ESTRUCTURAS
concreto premezclado cisternas f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado cisternas,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - cisterna,CA,ESTRUCTURAS
waterstop,CA,ESTRUCTURAS
excavacion manual para cimentaciones,MT,ESTRUCTURAS
"acarreo acopio material excedente, procedente excavaciones manuales",MT,ESTRUCTURAS
"eliminacion material excedente ,procedente excavaciones manuales",MT,ESTRUCTURAS
relleno con material propio,MT,ESTRUCTURAS
"compactacion zanjas ,cimentacion muros cisterna",MT,ESTRUCTURAS
concreto subzapatas : + % pg,CA,ESTRUCTURAS
concreto cimiento corrido : + % pg,CS,ESTRUCTURAS
encofrado en cimiento corrido,CS,ESTRUCTURAS
concreto en sobrecimientos corrido,CS,ESTRUCTURAS
encofrado en sobrecimiento corrido,CS,ESTRUCTURAS
concreto premezclado zapatas f'c= kg/cm,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - zapatas cimientos,CA,ESTRUCTURAS
encofrado normal desencofrado zapatas cimientos,CA,ESTRUCTURAS
concreto premezclado columnas f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado columnas,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - columnas,CA,ESTRUCTURAS
concreto premezclado placas f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado normal en placas,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - placas,CA,ESTRUCTURAS
concreto premezclado vigas f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado vigas,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - vigas,CA,ESTRUCTURAS
concreto premezclado escalera f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado escalera,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - escaleras concreto,CA,ESTRUCTURAS
concreto premezclado losa maciza h=m f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado losa maciza h= m,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - losa maciza h= m,CA,ESTRUCTURAS
concreto premezclado losa aligerada h=m f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado losas aligeradas h= m,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - losa aligerada h= m,CA,ESTRUCTURAS
"vigueta pretensada v-, incluye bovedillas",CA,ESTRUCTURAS
subbase compactada en piso estacionamiento,CA,ESTRUCTURAS
"concreto premezclado losa estacionamiento,espesor cm f'c= kg/cm",CA,ESTRUCTURAS
encofrado normal desencofrado losa estacionamiento h=m,CA,ESTRUCTURAS
"corte junta, espesor mm",CA,ESTRUCTURAS
"relleno junta con sello elastico ,mmxmm",CA,ESTRUCTURAS
"acero corrugado fy= kg/cm grado - losa estacionamiento ,espesor cm",CA,ESTRUCTURAS
concreto premezclado muros interiores f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado muros interiores,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - muros interiores,CA,ESTRUCTURAS
concreto premezclado cornisa f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado cornisa,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - cornisa,CA,ESTRUCTURAS
concreto premezclado canaletas f'c= kg/cm,CA,ESTRUCTURAS
encofrado normal desencofrado canaletas,CA,ESTRUCTURAS
acero corrugado fy= kg/cm grado - canaletas,CA,ESTRUCTURAS
losa base piscina con poliestireno alta densidad,CA,ESTRUCTURAS
muro king block cm,ALB,ARQUITECTURA
muro relleno al %,ALB,ARQUITECTURA
acarreo,ALB,ARQUITECTURA
dinteles,ALB,ARQUITECTURA
limpieza permanente eliminacion escombros fuera obra,ALB,ARQUITECTURA
concreto premezclado columnetas f'c= kg/cm,ALB,ARQUITECTURA
encofrado normal desencofrado columnetas,ALB,ARQUITECTURA
acero corrugado fy= kg/cm grado - columnetas,ALB,ARQUITECTURA
curado estructura,ALB,ARQUITECTURA
concreto premezclado viga amarre f'c= kg/cm,ALB,ARQUITECTURA
encofrado normal desencofrado vigas amarre,ALB,ARQUITECTURA
acero corrugado fy= kg/cm grado - vigas amarre,ALB,ARQUITECTURA
tabiqueria drywall cm (mocheta ascensores puertas corredizas),ALB,ARQUITECTURA
solaqueo muros (incluye placas columnas),REVO,ARQUITECTURA
emporre muros concreto (sotanos),REVO,ARQUITECTURA
"tarrajeo interior muros (tabiques,placas,columnas,cajon escaleras muros)",REVO,ARQUITECTURA
"tarrajeo exterior muros (tabiques,placas,columnas muros fachada tragaluces)",REVO,ARQUITECTURA
tarrajeo vigas,REVO,ARQUITECTURA
